timestamp,open,high,low,close,volume
2022-05-01 00:00:00,2726.67,2746.82,2716.13,2736.52,34271.2824
2022-05-01 01:00:00,2736.52,2777.36,2725.4,2770.25,28650.6369
2022-05-01 02:00:00,2770.26,2780.62,2754.76,2758.16,16032.0927
2022-05-01 03:00:00,2758.16,2777.77,2758.16,2777.15,11460.1022
2022-05-01 04:00:00,2777.15,2780.63,2764.18,2772.53,22573.0431
2022-05-01 05:00:00,2772.54,2795.15,2769.23,2782.0,18816.3113
2022-05-01 06:00:00,2782.01,2791.79,2772.0,2776.05,13166.7918
2022-05-01 07:00:00,2776.04,2779.35,2764.67,2766.39,14489.5712
2022-05-01 08:00:00,2766.4,2782.0,2765.18,2778.31,12854.7075
2022-05-01 09:00:00,2778.31,2780.64,2756.8,2768.31,8475.5507
2022-05-01 10:00:00,2768.32,2775.87,2761.0,2766.42,8231.258
2022-05-01 11:00:00,2766.42,2769.3,2751.74,2756.8,11207.4185
2022-05-01 12:00:00,2756.79,2779.42,2753.5,2763.88,14552.6795
2022-05-01 13:00:00,2763.88,2771.27,2757.17,2757.99,9218.5265
2022-05-01 14:00:00,2758.0,2767.4,2754.28,2760.19,12476.3829
2022-05-01 15:00:00,2760.18,2819.31,2760.18,2805.75,33194.066
2022-05-01 16:00:00,2805.76,2828.93,2801.53,2812.2,26489.8879
2022-05-01 17:00:00,2812.21,2819.96,2804.01,2807.06,13988.7787
2022-05-01 18:00:00,2807.05,2808.62,2771.33,2773.22,16274.3572
2022-05-01 19:00:00,2773.23,2777.62,2755.1,2765.39,20779.7464
2022-05-01 20:00:00,2765.4,2817.82,2757.81,2813.19,19345.2218
2022-05-01 21:00:00,2813.18,2821.7,2793.24,2808.61,16150.0107
2022-05-01 22:00:00,2808.61,2823.9,2793.25,2806.98,23198.1539
2022-05-01 23:00:00,2806.98,2849.9,2802.34,2824.81,36648.3014
2022-05-02 00:00:00,2824.81,2849.68,2822.59,2841.41,27726.5767
2022-05-02 01:00:00,2841.66,2848.22,2833.04,2834.21,11138.9394
2022-05-02 02:00:00,2834.21,2841.0,2829.01,2839.15,10269.1645
2022-05-02 03:00:00,2839.15,2846.21,2835.0,2840.72,12265.747
2022-05-02 04:00:00,2840.72,2865.83,2832.1,2856.81,17391.7924
2022-05-02 05:00:00,2856.82,2867.21,2849.41,2861.27,14346.4794
2022-05-02 06:00:00,2861.27,2874.59,2856.35,2857.66,13353.6404
2022-05-02 07:00:00,2857.66,2865.72,2841.1,2845.26,13159.1003
2022-05-02 08:00:00,2845.26,2855.86,2832.18,2838.83,13337.2182
2022-05-02 09:00:00,2838.83,2848.69,2807.64,2810.42,19093.726
2022-05-02 10:00:00,2810.43,2819.76,2802.44,2806.14,15402.1403
2022-05-02 11:00:00,2806.13,2809.67,2789.63,2795.05,17868.4154
2022-05-02 12:00:00,2795.05,2811.47,2789.28,2795.57,17163.7751
2022-05-02 13:00:00,2795.54,2845.1,2778.78,2829.25,64991.9371
2022-05-02 14:00:00,2829.25,2852.53,2805.23,2828.0,46120.4364
2022-05-02 15:00:00,2827.99,2835.49,2814.1,2827.68,24617.0023
2022-05-02 16:00:00,2827.68,2836.49,2806.24,2809.0,24729.2666
2022-05-02 17:00:00,2809.0,2811.66,2784.24,2797.27,25050.3917
2022-05-02 18:00:00,2797.26,2810.06,2780.0,2801.0,28149.9534
2022-05-02 19:00:00,2800.99,2850.0,2795.55,2841.71,39989.7752
2022-05-02 20:00:00,2841.72,2847.64,2825.99,2826.99,15735.8704
2022-05-02 21:00:00,2827.0,2869.39,2824.08,2866.14,18958.5606
2022-05-02 22:00:00,2866.14,2894.22,2860.94,2861.91,18304.892
2022-05-02 23:00:00,2861.91,2874.48,2851.2,2856.54,12542.0559
2022-05-03 00:00:00,2856.54,2861.47,2836.12,2836.91,18085.4554
2022-05-03 01:00:00,2836.91,2845.47,2830.27,2844.99,13470.7825
2022-05-03 02:00:00,2844.99,2853.13,2828.65,2839.99,12004.087
2022-05-03 03:00:00,2840.0,2856.33,2839.01,2851.0,10873.2942
2022-05-03 04:00:00,2851.0,2855.07,2843.93,2849.13,8735.8184
2022-05-03 05:00:00,2849.12,2849.36,2829.9,2844.09,23087.0998
2022-05-03 06:00:00,2844.09,2848.73,2836.93,2840.3,8312.9743
