coin,final_capital,total_trades,win_rate,total_profit
ARB,10461.11,1,1.0,461.11
LINK,10430.2,1,1.0,430.2
DOGE,11177.64,28,0.39,1177.64
ETH,10344.32,1,1.0,344.32
